straat,lat,lon
Muinkkaai,51.041758319469224,3.7293248360499565
Kantienberg,51.041142903298486,3.7272224140691272
Elsstraat to,51.064737260674455,3.712694093494942
Muinkkaai,51.04414563525103,3.728764524259918
Sportstraat,51.04213488324694,3.708391148963756
Lange Violettestraat,51.046050938844274,3.734525644309086
Abdisstraat,51.04318211016353,3.7131110811165398
Ter Platen,51.041267043904355,3.7294049231630697
Ter Platen,51.04127814986145,3.729400245559328
Elsstraat to,51.0647310490005,3.7126598190103124
Abdisstraat,51.04319287414546,3.713079741167679
Kleemburg,51.04225472014974,3.7484954470057352
Tweebruggenstraat,51.04847262829321,3.7363622447073883
,51.058967504546615,3.72073338843054
Franklin Rooseveltlaan,51.04314715986653,3.7326320729344054
Hofstraat,51.04252158110815,3.731957847416104
Kwakkelstraat,51.063353518042014,3.7077702231835836
Dwarsstraat,51.044341769449886,3.7475581132458657
Gasklokstraat,51.06465374578179,3.707782835710752
Jozef II-straat,51.06343529853313,3.712893357680064
Guldenspoorstraat,51.045618399227756,3.730835349141755
Ter Platen,51.04125651177587,3.7294100470013376
Jozef II-straat,51.06345678333041,3.7129206710951594
Ter Platen,51.041173016799746,3.7294339737810502
Heilig-Kruisplein,51.066074205305426,3.7702303223013507
Wilgenstraat,51.064696064927915,3.7102408459226552
Tennisbaanstraat,51.04151986225775,3.7088454607086874
Biest,51.06855814493608,3.7547338461373894
Kaprijkestraat,51.06652826082694,3.7208077436456395
Dracenastraat,51.075528978407085,3.7149122669686325
Biest,51.06856231915489,3.754691271942429
Vlotstraat,51.06395783450423,3.7119778122895277
Ijskelderstraat,51.06364262777103,3.7087245823591823
,51.06184316425249,3.72436640697647
Schaliestraat,51.063647368683526,3.70547448798119
Olympiadeplein,51.04184758702136,3.7000121679355207
Sportstraat,51.04178711233675,3.706870021576057
,51.06164984747385,3.7211248320389796
Tichelrei,51.06129563596553,3.723166105097867
Leiekaai,51.05679450952803,3.7051189127284547
Bevelandstraat,51.06818240619883,3.731170457994585
Schaliestraat,51.063620643525724,3.705441882738107
Tichelrei,51.06131746382993,3.723174551268337
Wilgenstraat,51.06467417916184,3.710248941642998
Bargiekaai,51.05814062077053,3.7080349719916232
Sportstraat,51.04177196972276,3.70682376509481
Leiestraat,51.057121872663,3.703721559057623
Botestraat,51.08652121311933,3.706077107176332
Maïsstraat,51.06882842151011,3.7089961033839662
,51.07005783432991,3.730306767770379
Jacob van Maerlantstraat,51.065120287874706,3.7272256502473016
Liefkensstraat,51.0979924729618,3.7110261491674916
Patijntjestraat,51.04176694666519,3.7065197119012154
Elyzeese Velden,51.06135995988272,3.7049600817074246
Begijnhofdries,51.056824269036326,3.7119931450110735
Dukkeldamstraat,51.077908214209366,3.730710126519218
Noordveenakkerstraat,51.07398608083543,3.744129684020399
Antwerpsesteenweg,51.07469770927396,3.7783289257094914
Hurstweg,51.074295124894526,3.7219362459287995
Watervlietstraat,51.06631327456557,3.7182302375623526
Jozef II-straat,51.06331625646837,3.712150548253683
,51.06069241760726,3.7212579079271606
Antwerpsesteenweg,51.074682519486814,3.7783095170608827
Lambert Queteletstraat,51.06596105343793,3.725499556812848
Voormuide,51.068510900670454,3.729442591692994
Hurstweg,51.07430328778029,3.7218849429201573
Hortensiastraat,51.06975360382486,3.7046779926416957
Neuseplein,51.06707882043329,3.7276089533202805
Hugo Van der Goesstraat,51.066516960488684,3.728567356468414
Antwerpsesteenweg,51.07470530998319,3.778433187397371
Sint-Salvatorstraat,51.06647616184731,3.7290941361506595
Rietstraat,51.06411439282537,3.7100157624286534
Neuseplein,51.067075603562145,3.7276442517435213
Desiderius Erasmusstraat,51.06625756891385,3.726443776772101
,51.06070797485767,3.7212836428089173
Jozef II-straat,51.0633302536985,3.7121226460501657
Hugo Van der Goesstraat,51.06653927073003,3.728571636266866
Lavendelstraat,51.07095374336867,3.7066923526161895
Desiderius Erasmusstraat,51.06667613633949,3.725885049368555
Antwerpsesteenweg,51.07471546576121,3.7784054588738454
Voormuide,51.06848859867767,3.7294381966854653
Dok-Noord,51.06620672452123,3.7339531194481985
Ganzendries,51.03326566526121,3.711374316555304
